924

1184 305 58 4
1164 50 57 4
1110 57 44 4
1109 146 110 5
1103 341 66 4
1070 160 46 4
993 62 66 5
991 316 40 2
984 177 115 5
940 300 87 5
934 446 71 5
920 260 22 2
894 212 59 4
872 46 55 5
847 13 30 3
832 350 55 4
769 362 13 1
767 400 83 4
759 428 28 4
714 207 86 5
700 63 45 3
688 44 65 4
683 324 33 2
657 113 57 4
656 447 55 4
650 25 50 4
617 95 41 4
597 22 47 4
582 175 66 5
527 248 22 2
510 238 38 4
460 266 61 4
458 478 41 3
411 227 54 4
394 338 54 4
390 138 29 3
389 456 71 4
373 161 102 5
343 163 32 3
314 129 40 4
290 79 12 2
274 389 84 5
242 211 101 4
236 172 41 4
161 54 32 1
158 261 21 1
142 134 77 4
103 442 20 2
78 155 76 5
72 382 81 4
49 304 28 2
46 53 64 4
22 298 62 4
1184 1088 352 18 4
1184 727 197 15 4
1164 1050 425 2 4
1164 408 224 23 4
1119 1139 151 7 5
1119 1138 431 28 5
1119 1137 109 31 5
1119 1136 20 42 5
1110 943 38 23 4
1109 1136 20 1 5
1109 259 28 20 5
1103 334 222 21 4
1103 230 381 27 4
1076 595 319 21 1
1070 693 432 19 4
1056 1066 125 41 5
1056 1063 291 6 5
1056 1062 339 44 5
993 1178 429 33 5
993 684 415 29 5
984 452 115 25 5
984 218 234 10 5
970 93 268 25 1
940 491 278 32 5
940 473 294 16 5
940 293 241 15 5
934 433 390 29 5
934 74 252 28 5
920 112 64 23 2
912 925 223 20 5
894 473 294 26 4
872 749 387 36 5
847 972 287 29 3
832 704 288 8 4
832 583 348 46 4
769 1019 186 24 1
767 1046 242 40 4
759 439 55 20 4
714 430 78 43 5
700 1026 199 24 3
688 77 356 45 4
683 1162 150 12 2
683 964 130 8 2
683 171 68 13 2
657 452 115 24 4
657 71 405 14 4
656 673 349 24 4
650 765 29 32 4
627 638 74 7 5
627 637 135 6 5
627 636 384 12 5
617 879 30 22 4
617 96 61 8 4
615 174 470 30 1
597 1145 133 43 4
597 294 45 33 4
582 928 15 24 5
582 594 264 44 5
557 569 351 14 5
557 568 303 26 5
557 567 239 2 5
557 565 17 7 5
557 564 254 37 5
557 563 190 12 5
527 215 189 22 2
510 567 239 24 4
510 409 413 47 4
498 514 383 19 5
498 511 31 30 5
495 505 403 6 5
495 502 345 32 5
469 492 347 11 5
460 936 332 11 4
460 306 273 38 4
458 980 340 22 3
436 444 202 20 5
436 442 322 8 5
436 439 55 17 5
411 244 364 35 4
411 37 420 4 4
396 409 413 5 5
394 1098 286 23 4
394 437 217 10 4
390 419 83 21 3
389 966 86 16 4
389 649 258 8 4
373 319 32 12 5
343 855 399 19 3
314 1079 42 12 4
314 816 402 25 4
314 511 31 17 4
290 1146 147 13 2
278 293 241 23 5
274 928 15 20 5
246 257 354 22 5
246 253 2 8 5
246 252 96 18 5
242 409 413 21 4
236 747 422 33 4
210 213 343 2 5
190 195 36 34 5
190 194 336 14 5
161 795 8 18 1
152 588 206 12 0
142 797 183 4 4
142 306 273 12 4
142 110 301 31 4
132 166 279 17 5
132 165 460 14 5
132 164 102 17 5
132 163 209 3 5
126 147 152 15 5
126 144 321 21 5
103 1053 159 18 2
78 1004 310 29 5
78 651 385 36 5
55 80 329 4 5
55 79 250 14 5
55 77 356 9 5
55 76 308 7 5
55 75 360 26 5
52 68 187 9 5
52 66 103 2 5
52 64 407 10 5
49 586 80 20 2
49 371 334 19 2
46 439 55 6 4
22 37 420 27 4
2 14 317 6 5
2 13 247 26 5
1164 1151 1165 315 13 4
1164 1151 1161 408 13 4
1164 592 471 284 4 4
1119 1138 925 223 5 5
1119 1115 1124 311 35 5
1119 1115 1123 65 2 5
1110 1094 1113 170 13 4
1109 1199 392 141 3 5
1109 1136 313 281 16 5
1103 1093 1107 91 11 4
1080 1030 1038 173 17 5
1080 1030 1037 140 14 5
1080 845 868 94 10 5
1080 800 808 337 20 5
1080 537 552 179 11 5
1080 537 551 112 35 5
1080 297 309 375 1 5
1080 212 224 60 9 5
1080 212 223 233 9 5
1080 212 222 435 21 5
1076 1059 1078 195 5 1
1070 1057 1069 306 27 4
1070 693 157 23 11 4
1056 1065 798 471 3 5
1056 1034 1054 153 12 5
1056 954 977 388 3 5
1056 841 850 398 13 5
1056 535 543 128 11 5
1056 212 222 435 4 5
1056 212 220 437 5 5
1017 1171 1182 225 2 5
1017 1171 1177 90 23 5
1017 1030 1037 140 8 5
1017 1030 1036 438 33 5
1017 1015 1020 174 1 5
1017 1001 1007 185 24 5
1017 1001 1006 280 5 5
1017 1001 1005 474 11 5
1002 1117 1132 41 22 5
1002 1081 1086 285 4 5
1002 1081 1085 226 4 5
1002 1012 383 75 4 5
1002 1011 508 440 1 5
1002 722 731 230 7 5
1002 722 730 240 3 5
1002 570 573 397 9 5
1002 497 509 404 12 5
1002 330 339 107 13 5
1002 276 289 35 1 5
993 958 992 10 18 5
993 958 990 51 4 5
991 958 990 51 4 2
991 372 712 376 14 2
934 74 663 6 19 5
920 911 921 461 4 2
912 1121 1149 410 7 5
912 926 850 398 3 5
912 916 942 409 23 5
912 915 938 203 14 5
912 915 936 332 20 5
912 720 727 197 15 5
912 720 726 108 3 5
912 695 705 77 21 5
912 575 586 80 19 5
872 870 875 73 1 5
872 749 162 365 12 5
847 972 1072 357 2 3
832 1042 777 430 16 4
804 806 834 184 1 5
804 803 825 118 17 5
804 803 820 391 15 5
804 801 811 371 11 5
804 801 810 231 4 5
804 555 561 275 15 5
804 297 309 375 14 5
769 753 764 101 7 1
767 753 764 101 1 4
