1000

1197 35 37 4
1159 171 40 2
1097 108 55 4
1094 110 76 5
1089 406 67 5
1048 362 31 3
1043 138 49 5
1030 348 92 5
987 271 63 5
947 378 39 2
898 265 74 4
851 396 93 5
843 473 25 3
820 166 51 4
759 96 47 4
581 460 46 4
522 394 65 4
500 93 29 2
437 275 24 2
415 130 55 4
407 336 97 5
358 182 45 4
336 39 37 4
331 152 58 4
312 111 53 4
263 76 75 5
242 120 56 5
228 158 44 4
206 131 63 4
191 168 42 4
178 2 45 5
165 85 78 5
104 455 66 4
49 264 84 5
29 94 44 4
9 19 13 1
1197 896 89 35 4
1197 607 36 24 4
1159 1092 295 11 2
1097 739 262 35 4
1094 1063 454 10 5
1094 962 376 34 5
1094 777 318 30 5
1089 1034 193 35 5
1089 434 437 38 5
1048 776 412 26 3
1043 857 115 26 5
1043 379 478 40 5
1030 863 239 5 5
1030 543 197 26 5
1030 291 172 27 5
987 1052 356 35 5
987 641 266 11 5
947 725 207 14 2
941 444 383 24 1
898 91 450 42 4
851 298 219 22 5
843 578 329 23 3
843 158 409 24 3
820 517 248 32 4
759 891 377 16 4
759 850 149 38 4
682 714 169 14 5
682 711 434 6 5
682 709 462 6 5
662 670 27 13 5
662 668 360 20 5
662 667 373 2 5
628 644 128 30 5
628 643 325 6 5
581 435 56 27 4
581 240 320 10 4
522 878 472 21 4
522 833 278 21 4
510 513 469 13 5
510 512 78 24 5
500 887 143 19 2
489 509 51 9 5
489 506 441 5 5
485 492 477 39 5
485 491 392 28 5
437 34 125 15 2
415 265 274 21 4
407 35 389 42 5
395 406 384 29 5
395 405 415 13 5
395 404 179 13 5
395 402 181 36 5
358 516 397 31 4
336 417 160 29 4
331 1168 324 19 4
331 541 216 23 4
321 347 314 21 5
320 346 106 18 5
320 345 140 25 5
315 328 116 12 5
315 326 464 12 5
315 325 200 16 5
315 324 300 3 5
281 293 245 22 5
281 292 150 8 5
263 1193 221 27 5
263 1167 83 32 5
263 807 133 16 5
242 324 300 25 5
242 58 366 15 5
235 243 26 25 5
235 241 165 18 5
235 240 320 19 5
235 239 119 8 5
228 481 55 7 4
228 457 269 18 4
228 389 310 27 4
206 363 53 39 4
206 169 203 4 4
202 231 416 15 5
201 229 134 5 5
201 227 3 3 5
200 225 342 6 5
200 224 282 32 5
200 222 23 9 5
200 220 121 20 5
195 211 438 16 5
195 210 15 14 5
195 208 426 23 5
195 203 347 15 5
191 167 463 34 4
178 576 22 23 5
178 551 313 39 5
165 93 49 40 5
155 1088 367 43 4
155 1017 453 19 4
154 173 112 6 5
154 172 255 3 5
150 162 381 22 5
150 161 404 18 5
150 159 345 17 5
150 158 409 13 5
150 157 205 42 5
150 156 18 21 5
113 149 289 4 5
113 148 251 7 5
110 136 92 26 5
106 123 353 13 5
106 121 323 27 5
106 120 241 1 5
106 119 466 3 5
96 340 257 38 1
76 90 155 17 5
76 89 50 6 5
76 87 191 28 5
76 86 95 18 5
76 85 305 19 5
76 84 148 8 5
51 63 98 3 5
51 62 337 9 5
51 61 159 36 5
51 60 229 11 5
49 289 70 37 5
29 550 86 21 4
20 40 21 7 5
20 39 445 21 5
18 36 334 28 5
9 1016 59 11 1
1 8 198 28 5
1 3 433 19 5
1197 896 1059 156 6 4
1159 1143 1164 105 17 2
1097 1079 1099 170 15 4
1089 1077 1087 417 5 5
1043 1022 1040 213 11 5
987 985 992 436 29 5
987 985 989 64 3 5
986 1131 1137 250 1 5
986 1131 1136 211 11 5
986 1056 1064 400 9 5
986 972 983 303 9 5
986 869 891 377 22 5
986 869 888 65 9 5
986 787 797 164 22 5
986 742 754 192 2 5
986 717 730 90 11 5
986 717 729 427 11 5
986 620 624 457 2 5
986 590 596 199 7 5
986 259 277 177 2 5
986 259 275 290 4 5
986 259 274 99 2 5
947 927 948 398 14 2
941 926 944 139 9 1
911 917 908 154 2 5
911 912 924 447 28 5
911 912 922 364 9 5
911 912 920 7 9 5
911 569 589 88 24 5
911 569 588 335 20 5
911 430 439 386 9 5
911 400 424 261 2 5
911 280 291 172 4 5
867 873 908 154 29 5
867 870 894 71 12 5
867 868 883 215 2 5
867 868 882 479 27 5
867 865 875 448 7 5
867 865 874 30 7 5
867 560 562 344 3 5
867 380 386 107 10 5
867 380 384 189 13 5
867 112 145 311 28 5
851 842 850 149 15 5
851 842 849 114 2 5
851 713 819 316 6 5
820 904 914 331 14 4
820 810 816 363 3 4
759 755 758 284 4 4
682 1070 1074 186 12 5
682 1070 1073 142 4 5
682 1070 1072 253 2 5
682 872 905 287 24 5
682 714 66 180 8 5
682 710 491 392 16 5
682 710 359 82 32 5
682 675 686 327 12 5
682 627 638 202 14 5
662 1141 1155 390 2 5
662 1141 1153 243 9 5
662 1141 1152 58 1 5
662 1141 1151 141 14 5
662 996 1005 184 4 5
662 674 1173 33 6 5
662 672 559 209 10 5
662 671 624 457 9 5
662 525 528 38 4 5
662 400 424 261 1 5
662 400 423 195 3 5
662 371 378 380 10 5
662 371 377 475 4 5
662 371 375 4 15 5
661 1100 1104 61 11 5
661 1025 1051 385 10 5
661 770 773 46 16 5
661 560 562 344 6 5
645 1102 1114 407 10 5
645 1102 1113 224 14 5
645 1065 1069 399 3 5
645 1065 1068 77 5 5
645 1065 1067 81 26 5
645 985 989 64 2 5
645 985 988 414 4 5
645 648 169 203 8 5
645 647 658 343 12 5
645 602 615 371 13 5
645 511 515 330 1 5
628 1146 1172 217 7 5
628 1117 1129 283 16 5
628 642 356 118 29 5
628 640 555 16 16 5
628 566 576 22 2 5
628 486 495 410 5 5
628 486 494 402 6 5
581 567 582 315 13 4
581 567 580 247 9 4
581 567 579 163 2 4
581 435 127 223 9 4
522 520 524 11 16 4
510 871 903 66 21 5
510 647 658 343 6 5
510 647 655 263 28 5
510 514 1114 407 27 5
510 380 384 189 10 5
500 487 499 9 5 2
489 1177 1192 297 14 5
489 1177 1191 388 14 5
489 1101 1110 405 11 5
489 771 781 431 10 5
489 771 780 72 10 5
489 568 585 244 8 5
489 508 121 323 4 5
489 505 722 292 15 5
489 488 504 84 5 5
489 451 471 206 11 5
489 175 180 299 21 5
489 175 179 204 2 5
485 1023 1045 225 4 5
485 757 769 333 9 5
485 740 746 294 17 5
485 488 504 84 6 5
485 488 502 231 10 5
485 399 421 256 27 5
437 430 439 386 15 2
433 1130 1135 418 2 5
433 865 874 30 8 5
433 855 857 115 3 5
433 815 839 73 17 5
433 789 808 393 19 5
433 789 807 133 6 5
433 789 806 194 2 5
433 567 579 163 2 5
433 431 440 44 5 5
433 185 190 403 15 5
415 397 416 458 18 4
415 265 989 64 9 4
415 207 208 426 22 4
407 7 915 230 7 5
395 771 780 72 12 5
395 742 754 192 1 5
395 545 549 31 14 5
395 403 939 401 5 5
395 402 935 52 11 5
395 397 416 458 8 5
381 1100 1104 61 1 5
381 1100 1103 254 8 5
381 1022 1040 213 17 5
381 815 839 73 3 5
381 590 596 199 5 5
381 546 552 446 12 5
381 531 538 175 1 5
381 388 783 286 2 5
381 152 167 463 12 5
370 1117 1127 352 26 5
370 1065 1067 81 8 5
370 789 806 194 14 5
370 789 803 365 23 5
370 625 630 258 5 5
370 531 538 175 32 5
370 531 537 312 12 5
358 323 359 82 24 4
336 417 1136 211 6 4
336 317 335 42 9 4
336 317 334 267 6 4
336 317 333 137 17 4
336 317 332 87 13 4
331 541 588 335 1 4
331 317 332 87 9 4
321 1022 1040 213 6 5
321 1022 1039 183 2 5
321 1022 1038 350 5 5
321 396 408 103 31 5
321 347 121 323 4 5
320 1178 1195 214 2 5
320 1178 1193 221 2 5
320 382 392 145 6 5
320 382 389 310 9 5
320 322 356 118 7 5
320 319 344 188 19 5
320 111 144 340 13 5
315 716 723 10 2 5
315 603 618 238 21 5
315 322 356 118 5 5
315 318 339 5 1 5
315 318 338 422 6 5
315 316 330 443 36 5
315 176 183 354 2 5
312 881 329 368 7 4
286 1070 1072 253 6 5
286 569 588 335 23 5
286 532 543 197 17 5
286 314 1163 451 3 5
286 282 302 178 8 5
286 282 297 101 1 5
286 282 296 74 2 5
281 741 752 471 2 5
281 450 464 308 21 5
281 450 460 123 7 5
281 293 311 467 8 5
281 284 311 467 13 5
281 284 307 25 15 5
281 259 274 99 32 5
281 238 254 408 13 5
258 1056 1064 400 23 5
258 1056 1063 454 6 5
258 971 981 442 8 5
258 912 920 7 11 5
258 912 919 12 16 5
258 856 863 239 10 5
258 625 630 258 2 5
258 591 598 249 22 5
258 547 559 209 2 5
258 525 528 38 8 5
258 525 527 276 1 5
258 382 389 310 9 5
257 912 919 12 10 5
257 601 614 317 16 5
257 530 533 421 8 5
257 268 1114 407 10 5
257 255 264 185 11 5
257 255 262 222 1 5
257 70 71 34 1 5
242 1183 61 159 23 5
235 567 579 163 28 5
235 240 3 433 3 5
235 185 190 403 9 5
202 856 863 239 4 5
202 810 816 363 1 5
202 234 942 0 29 5
202 199 219 126 10 5
202 196 213 144 22 5
201 866 1067 81 1 5
201 866 877 40 9 5
201 785 791 233 1 5
201 603 618 238 11 5
201 398 418 301 3 5
201 283 305 41 6 5
200 841 847 277 3 5
200 223 1027 113 16 5
195 1144 1166 69 1 5
195 910 915 230 2 5
195 856 863 239 9 5
195 209 492 477 29 5
195 204 899 226 16 5
195 204 791 233 19 5
178 175 179 204 2 5
178 175 177 100 21 5
165 151 166 349 29 5
155 490 899 226 4 4
154 1115 1122 391 21 5
154 1115 1121 375 5 5
154 1115 1119 43 4 5
154 678 694 470 17 5
154 660 665 474 22 5
154 565 575 24 25 5
154 53 69 228 9 5
153 1078 1095 173 14 5
153 646 653 420 5 5
153 256 267 136 11 5
153 171 384 189 25 5
150 157 384 189 4 5
113 998 1018 425 9 5
113 998 1017 453 1 5
113 998 1014 208 2 5
113 111 144 340 8 5
113 111 143 218 11 5
113 111 142 127 14 5
113 108 133 298 9 5
113 108 132 280 35 5
113 107 127 223 8 5
110 1115 1119 43 15 5
110 677 690 242 9 5
110 626 634 187 33 5
110 626 632 62 12 5
110 140 883 215 11 5
110 105 116 162 7 5
106 841 847 277 11 5
106 125 473 468 2 5
106 124 1151 141 19 5
106 112 145 311 2 5
106 109 134 60 4 5
106 108 132 280 15 5
106 107 127 223 15 5
104 103 117 429 24 4
104 80 102 135 6 4
78 1023 1045 225 25 5
78 932 968 424 5 5
78 932 966 351 13 5
78 675 686 327 2 5
78 675 684 109 2 5
78 511 515 330 7 5
78 400 423 195 4 5
78 400 422 456 1 5
78 79 98 196 8 5
76 1116 1124 97 2 5
76 740 745 382 15 5
76 86 180 299 3 5
76 85 908 154 8 5
76 77 94 355 4 5
75 999 1019 176 3 5
75 547 559 209 35 5
75 547 558 449 8 5
75 547 555 16 2 5
75 283 305 41 14 5
75 81 863 239 1 5
75 81 833 278 13 5
75 81 324 300 13 5
75 79 97 236 4 5
52 997 1013 272 9 5
52 997 1012 8 9 5
52 813 835 372 17 5
52 718 735 48 13 5
52 626 632 62 3 5
52 64 596 199 38 5
52 64 562 344 7 5
51 1116 1124 97 13 5
51 1116 1123 122 6 5
51 856 863 239 2 5
51 856 862 29 19 5
51 53 69 228 15 5
51 53 67 6 14 5
51 53 66 180 3 5
49 21 48 124 10 5
49 21 46 361 19 5
29 16 28 319 3 4
29 16 27 341 13 4
20 910 915 230 9 5
20 910 914 331 11 5
20 77 94 355 17 5
20 77 91 450 3 5
20 21 46 361 10 5
20 21 45 212 12 5
18 1146 1172 217 27 5
