959

1163 394 51 4
1149 440 108 4
1124 387 70 4
1116 69 81 4
1092 287 42 3
998 35 73 4
957 10 34 2
853 215 56 4
817 401 32 3
785 430 68 4
768 4 29 3
765 82 53 4
759 456 64 4
712 11 92 4
650 409 73 4
607 94 87 4
606 381 48 4
583 297 54 4
544 102 57 4
514 383 32 3
507 318 84 4
490 112 113 4
466 28 69 4
449 5 56 4
434 37 58 4
390 427 56 3
381 292 36 3
316 65 36 3
290 362 42 3
284 306 73 4
279 96 41 3
244 52 53 4
228 422 46 2
149 471 23 2
59 364 94 4
55 34 81 4
44 280 45 3
11 418 34 3
1163 754 398 30 4
1149 888 132 11 4
1149 21 55 6 4
1124 1032 210 20 4
1116 72 86 25 4
1092 851 258 19 3
1092 645 286 16 3
998 289 105 22 4
973 859 312 40 2
957 662 314 21 2
950 955 326 22 4
932 944 197 16 4
932 942 146 5 4
932 941 18 33 4
932 940 410 20 4
853 787 474 25 4
853 703 309 27 4
853 439 128 17 4
817 828 322 17 3
785 334 59 14 4
785 186 205 43 4
768 546 216 32 3
765 566 358 38 4
765 309 472 18 4
762 790 241 48 1
761 767 66 9 4
761 766 97 22 4
759 955 326 23 4
759 34 291 20 4
755 757 172 23 4
723 772 349 31 1
712 336 294 19 4
655 659 426 41 4
655 658 148 24 4
655 657 454 18 4
650 1083 276 29 4
650 824 73 8 4
650 691 366 15 4
639 398 95 43 1
637 392 459 30 1
606 1136 274 22 4
606 1019 49 11 4
595 605 290 25 4
595 603 137 5 4
595 602 177 32 4
595 601 335 34 4
589 1094 281 26 4
589 1059 253 19 4
589 857 368 15 4
589 550 162 16 4
589 217 89 21 4
583 929 223 23 4
583 419 133 29 4
580 581 449 5 4
562 575 285 30 4
562 573 135 48 4
544 283 329 29 4
537 554 211 17 4
537 551 424 17 4
535 546 216 18 4
535 540 452 21 4
523 65 91 20 0
514 1170 136 21 3
514 1077 71 20 3
507 216 232 41 4
490 819 243 12 4
470 1198 30 24 4
470 1014 191 45 4
470 519 350 10 4
470 16 298 22 4
466 293 415 38 4
449 704 356 17 4
435 444 249 17 4
435 443 372 28 4
435 442 165 23 4
435 441 45 22 4
435 440 84 3 4
435 438 357 14 4
434 1102 323 34 4
381 990 171 40 3
376 387 214 12 4
376 386 390 5 4
353 371 80 14 4
353 364 319 9 4
328 346 118 11 4
328 345 266 20 4
328 343 391 20 4
316 721 355 18 3
316 415 134 29 3
304 322 378 34 4
302 317 155 11 4
302 315 184 11 4
302 312 463 9 4
290 433 50 17 3
284 767 66 11 4
279 824 73 39 3
267 299 27 30 4
267 297 435 30 4
267 296 284 19 4
262 274 224 29 4
262 272 6 16 4
244 648 273 40 4
235 243 44 13 4
235 240 38 44 4
230 234 33 4 4
230 233 42 20 4
210 218 302 9 4
210 217 89 6 4
210 216 232 15 4
210 215 310 36 4
193 207 379 10 4
193 206 343 11 4
192 203 324 30 4
192 202 239 15 4
185 1100 199 5 2
185 740 307 17 2
160 172 117 4 4
160 171 107 17 4
160 170 247 2 4
160 168 131 17 4
160 166 386 33 4
149 69 81 18 2
143 157 431 1 4
143 156 267 23 4
143 155 47 6 4
142 153 393 22 4
140 144 437 14 4
115 122 369 21 4
115 121 453 40 4
115 120 219 20 4
79 98 41 21 4
79 97 313 5 4
79 96 246 2 4
79 95 100 22 4
77 90 119 48 4
76 87 150 14 4
76 85 213 40 4
59 429 12 16 4
55 944 197 20 4
55 21 55 18 4
44 174 478 12 3
36 43 373 19 4
11 493 167 36 3
10 33 77 26 4
10 31 20 3 4
10 30 168 13 4
10 29 238 9 4
10 28 416 45 4
10 27 143 29 4
8 22 341 31 4
1 1053 278 17 4
1 1051 13 38 4
1 632 465 9 4
