1008

1186 244 68 4
1179 268 28 2
1151 322 65 4
1141 345 95 5
1120 287 49 4
1088 64 68 4
1068 140 99 4
1051 465 48 3
1049 255 60 4
956 59 18 1
953 257 56 3
925 445 85 4
895 283 56 4
814 316 70 4
754 171 75 5
747 435 48 3
720 70 39 3
710 397 49 4
699 363 32 3
678 362 50 4
468 442 32 2
465 205 42 4
423 475 35 3
422 415 20 2
412 86 44 4
315 103 66 4
279 430 25 4
275 68 78 5
239 326 61 4
233 63 73 5
180 424 27 2
144 273 22 3
140 423 17 2
134 359 62 4
116 45 89 4
104 409 37 3
87 390 103 4
65 407 34 4
35 451 36 3
5 223 68 4
1186 1144 191 33 4
1179 149 416 31 2
1151 197 149 27 4
1146 1158 450 28 5
1146 1153 173 45 5
1141 663 328 29 5
1141 269 317 26 5
1120 342 399 40 4
1088 102 61 22 4
1068 310 374 15 4
1051 848 139 23 3
1049 19 468 49 4
1049 8 261 10 4
996 1007 128 30 5
996 1004 231 13 5
996 1003 93 26 5
962 978 37 36 5
962 976 329 11 5
962 975 277 15 5
956 1187 269 11 1
925 1158 450 21 4
925 1112 351 14 4
925 886 346 5 4
921 952 393 36 5
895 1043 79 33 4
814 718 177 30 4
814 58 373 21 4
775 784 14 25 5
775 783 469 27 5
775 781 69 3 5
775 779 263 11 5
756 764 189 33 5
756 762 398 34 5
756 761 211 25 5
754 193 410 41 5
747 563 34 16 3
734 753 339 26 5
734 752 323 8 5
734 750 46 41 5
734 749 202 11 5
710 594 123 19 4
710 592 167 3 4
710 474 228 35 4
699 618 222 28 3
698 714 30 43 5
698 713 144 11 5
698 711 24 24 5
698 709 344 14 5
680 247 433 32 3
678 1133 74 25 4
678 478 289 6 4
612 627 54 3 5
612 626 29 40 5
612 625 302 37 5
557 587 438 10 5
557 581 337 24 5
481 501 176 3 5
481 500 288 27 5
481 498 341 31 5
480 496 459 5 5
480 494 101 6 5
480 493 152 40 5
480 492 111 8 5
480 490 418 18 5
468 1138 320 6 2
468 753 339 24 2
465 729 285 37 4
464 1104 7 42 3
464 607 254 33 3
423 191 156 7 3
423 142 248 22 3
422 312 58 21 2
412 870 137 16 4
412 183 170 16 4
401 849 298 40 4
329 349 39 19 5
329 348 440 12 5
329 347 130 31 5
329 346 381 15 5
329 344 81 5 5
315 1070 275 9 4
315 347 130 6 4
285 290 112 13 5
285 287 135 18 5
279 706 439 47 4
279 195 82 2 4
275 708 266 19 5
275 580 239 24 5
265 269 317 20 5
233 1194 113 20 5
233 432 379 34 5
227 246 48 15 5
227 245 41 30 5
205 491 292 35 2
201 214 305 19 5
201 212 443 3 5
201 211 98 5 5
201 210 25 19 5
201 209 309 31 5
201 208 354 17 5
180 169 208 28 2
175 185 132 28 5
175 184 246 9 5
175 181 295 16 5
170 174 314 23 5
170 173 40 7 5
170 172 90 17 5
147 159 127 25 5
147 158 419 1 5
147 157 456 20 5
147 156 457 12 5
147 155 377 12 5
147 154 464 38 5
144 1095 77 35 3
143 886 346 14 4
143 692 471 20 4
143 510 218 37 4
143 40 243 18 4
140 743 106 16 2
135 141 95 11 5
135 139 10 30 5
134 990 278 21 4
132 665 88 49 4
116 850 286 30 4
116 656 19 6 4
106 117 121 15 5
104 979 371 37 3
96 103 330 20 5
86 94 360 9 5
65 222 376 20 4
61 72 265 33 5
61 70 304 3 5
61 69 217 25 5
61 68 252 25 5
55 58 373 28 5
51 1144 191 32 4
51 948 282 19 4
51 478 289 14 4
51 156 457 46 4
35 456 114 25 3
35 209 309 3 3
29 47 476 6 5
29 44 432 20 5
28 42 307 13 4
26 33 23 50 5
15 19 468 15 5
15 18 401 29 5
15 17 197 20 5
15 16 147 13 5
5 1140 472 11 4
5 475 342 31 4
0 8 261 26 5
0 4 62 2 5
0 3 449 7 5
1186 1169 1189 138 12 4
1151 1145 1150 297 6 4
1151 873 79 129 8 4
1146 484 515 6 12 5
1146 229 251 272 17 5
1120 1107 1123 11 17 4
1068 1056 1070 275 3 4
1068 1056 1069 280 6 4
1068 981 579 331 1 4
1051 1022 1054 91 21 3
1049 1022 1054 91 6 4
997 1147 1159 335 3 5
997 1018 1037 384 23 5
997 1018 1036 270 4 5
997 1018 1033 315 10 5
997 1011 198 402 17 5
997 1010 258 369 5 5
997 1009 379 226 16 5
997 998 1014 253 7 5
997 966 993 262 2 5
997 697 708 266 5 5
997 630 636 185 5 5
997 630 634 175 19 5
997 375 379 226 1 5
996 1145 1150 297 2 5
996 1131 1140 472 11 5
996 1131 1138 320 2 5
996 1108 1127 405 15 5
996 1002 217 89 37 5
996 1002 151 380 3 5
996 955 959 107 5 5
962 965 991 291 2 5
962 965 990 278 3 5
962 965 989 220 20 5
962 965 988 467 8 5
962 964 987 294 28 5
962 776 785 242 5 5
962 204 224 378 16 5
956 955 959 107 5 1
956 532 319 311 11 1
921 1090 1097 434 35 5
921 1090 1095 77 1 5
921 1090 1094 375 1 5
921 952 173 40 5 5
921 915 927 92 5 5
921 800 820 180 11 5
921 800 819 2 16 5
921 484 515 6 6 5
921 484 514 256 16 5
921 484 512 267 12 5
921 484 511 441 6 5
895 878 892 233 18 4
862 1145 1150 297 6 5
862 874 751 161 5 5
862 872 42 307 3 5
862 327 341 1 17 5
862 327 339 474 4 5
862 179 198 402 25 5
862 160 164 32 9 5
814 799 815 100 1 4
814 759 1007 128 3 4
775 1106 1115 324 17 5
775 1091 1103 260 3 5
775 799 815 100 21 5
775 784 253 470 3 5
775 783 354 122 11 5
775 777 787 60 18 5
775 776 785 242 5 5
775 415 427 136 1 5
775 225 235 186 3 5
766 1106 1115 324 7 5
766 915 924 20 3 5
766 825 829 453 4 5
766 825 828 83 2 5
766 697 708 266 37 5
766 484 511 441 16 5
766 362 374 412 15 5
766 362 373 145 24 5
766 355 358 313 24 5
756 998 1014 253 7 5
