999

1181 1 60 4
1132 109 62 4
1131 306 95 4
1084 91 28 1
1003 106 70 4
989 204 51 4
979 79 80 4
907 359 42 4
887 126 41 4
829 355 42 4
825 76 50 4
808 417 64 4
807 133 69 4
785 77 60 4
776 406 31 2
775 334 56 4
704 182 69 4
681 117 109 5
658 57 78 4
651 325 21 2
602 274 58 4
583 360 36 3
574 152 82 5
554 466 21 2
485 115 76 4
428 184 93 4
365 127 56 4
276 459 88 4
241 305 28 2
204 451 57 4
197 208 83 5
131 180 35 3
122 345 67 4
114 371 35 2
6 183 76 5
1181 446 21 15 4
1132 1092 414 37 4
1132 39 278 13 4
1131 982 356 26 4
1121 1139 333 34 5
1121 1138 34 25 5
1121 1137 44 11 5
1112 37 15 23 1
1105 51 381 45 2
1084 916 444 10 1
1074 1094 207 10 5
1074 1093 30 15 5
1074 1092 414 13 5
1026 1038 384 24 5
1003 1039 90 15 4
990 994 315 11 5
990 993 200 16 5
989 680 314 21 4
907 410 412 25 4
887 1134 131 16 4
887 926 275 32 4
887 411 220 34 4
881 896 439 17 5
881 895 245 11 5
881 894 438 10 5
881 893 222 33 5
866 873 401 9 5
866 872 45 2 5
866 870 288 22 5
866 869 435 8 5
832 844 190 15 5
832 841 251 2 5
829 1048 330 28 4
829 207 375 19 4
825 307 318 14 4
808 1192 31 20 4
808 986 13 39 4
807 858 249 17 4
807 672 138 10 4
788 849 88 9 0
785 803 37 23 4
776 445 174 15 2
775 954 301 22 4
726 738 281 37 5
726 736 273 6 5
704 95 462 29 4
700 1149 445 18 4
700 258 140 37 4
700 200 348 43 4
697 709 201 39 5
697 707 408 9 5
681 1199 364 24 5
662 675 153 33 4
662 674 399 16 4
658 360 397 13 4
655 659 81 26 5
655 657 231 23 5
651 17 353 15 2
635 638 58 1 5
635 636 395 27 5
620 627 23 29 5
620 626 36 39 5
620 625 354 21 5
620 624 269 16 5
620 623 419 22 5
602 472 178 32 4
602 171 142 22 4
591 600 429 22 5
591 598 54 22 5
583 843 108 10 3
583 407 246 26 3
574 236 425 35 5
568 974 410 19 0
565 589 100 11 5
565 588 130 36 5
