957

1182 152 45 4
1181 329 50 3
1160 150 17 1
1100 209 59 4
1086 77 65 4
1082 78 60 4
1064 80 84 4
1058 61 6 0
1056 127 63 4
966 245 104 4
953 306 23 3
951 403 55 3
924 30 21 1
901 98 56 3
816 94 103 4
768 11 63 4
754 359 40 4
661 28 89 4
631 361 73 4
615 412 110 4
599 411 107 4
569 8 74 4
497 14 75 4
472 433 51 3
463 105 36 3
439 49 41 3
434 147 81 4
433 284 36 3
426 132 64 4
392 368 57 4
347 302 9 1
294 429 92 4
258 414 100 4
224 473 40 3
213 298 61 4
94 110 69 4
87 244 50 4
37 464 71 4
28 385 51 3
20 10 51 4
13 437 25 2
3 203 48 3
1182 695 443 44 4
1181 389 0 19 3
1160 381 379 7 1
1151 736 477 17 0
1082 425 114 13 4
1064 1009 199 17 4
1064 896 290 18 4
1058 596 115 10 0
1056 627 462 26 4
1056 367 184 25 4
1056 206 146 6 4
966 106 419 16 4
953 986 33 32 3
951 1096 71 15 3
947 383 296 33 3
947 229 291 22 3
924 1134 334 22 1
907 920 220 11 4
816 911 401 21 4
816 453 369 1 4
783 801 26 3 4
783 799 299 35 4
768 555 279 40 4
762 773 3 44 4
762 772 365 24 4
762 771 128 37 4
754 139 262 42 4
746 1136 180 46 1
670 698 48 26 4
670 697 295 4 4
670 696 315 9 4
670 693 452 22 4
666 682 257 18 4
666 681 325 45 4
661 973 2 28 4
640 664 66 47 4
631 748 144 22 4
631 96 332 11 4
615 895 210 15 4
569 1046 129 8 4
569 5 390 43 4
497 501 347 6 4
497 214 166 43 4
492 1167 238 24 3
492 878 93 46 3
485 510 196 39 4
485 509 241 6 4
485 506 305 9 4
485 505 223 19 4
485 504 163 26 4
472 1143 248 16 3
463 779 143 28 3
439 1150 40 6 3
439 1116 59 18 3
434 168 221 44 4
433 725 195 29 3
433 338 460 16 3
426 830 405 28 4
426 95 171 9 4
417 430 441 17 4
417 428 378 3 4
417 427 356 12 4
416 423 111 9 4
415 421 474 4 4
415 420 342 14 4
398 414 354 13 4
398 412 174 28 4
398 411 205 1 4
396 406 345 20 4
396 405 465 20 4
396 402 237 2 4
396 401 466 18 4
392 657 297 2 4
392 595 141 41 4
390 393 117 33 4
359 380 91 23 4
359 378 138 4 4
347 539 457 19 1
341 349 90 15 4
330 335 187 22 4
330 334 202 19 4
330 333 328 16 4
330 332 260 10 4
294 509 241 16 4
287 305 254 1 4
287 302 311 41 4
287 300 74 4 4
287 299 326 7 4
275 280 372 26 4
275 279 88 21 4
275 277 20 20 4
258 176 479 17 4
253 265 155 32 4
230 240 69 17 4
230 238 124 12 4
230 237 293 18 4
230 234 421 11 4
224 583 327 21 3
213 743 422 39 4
202 220 275 31 4
202 219 15 9 4
144 1033 393 35 4
144 836 121 19 4
144 504 163 19 4
110 118 206 23 4
110 117 188 9 4
110 116 285 36 4
94 664 66 20 4
94 595 141 9 4
87 1074 268 8 4
87 239 96 31 4
87 150 46 19 4
79 104 168 23 4
79 102 418 21 4
79 100 118 7 4
79 99 435 9 4
79 98 339 15 4
75 83 430 6 4
75 82 123 15 4
65 72 398 21 4
65 71 179 2 4
56 64 360 19 4
56 62 130 9 4
56 61 292 23 4
37 921 449 6 4
37 873 159 29 4
37 698 48 15 4
20 1037 233 35 4
20 573 17 21 4
20 505 223 5 4
18 36 85 13 4
18 35 335 21 4
18 34 320 16 4
17 33 175 5 4
17 30 81 21 4
13 789 131 15 2
3 45 41 34 3
2 12 24 2 4
2 9 185 21 4
1 8 468 25 4
1182 1176 1186 321 9 4
1181 842 653 214 7 3
1160 1147 1162 50 2 1
1160 1147 1161 9 14 1
1151 1145 1155 228 2 0
1100 1080 1104 27 7 4
1100 1080 1102 392 26 4
1100 1080 1101 363 5 4
1100 1080 1099 317 1 4
1100 676 534 396 3 4
1100 54 704 303 20 4
1086 1076 1090 183 10 4
1086 1076 1089 439 12 4
1086 655 903 178 21 4
1086 655 883 87 13 4
1082 1075 1085 344 22 4
1082 938 1122 331 30 4
1064 857 832 34 6 4
1058 1028 1061 204 6 0
1056 961 153 447 5 4
1021 1036 1109 216 31 4
1021 1036 192 235 3 4
1021 1026 1054 57 1 4
1021 1025 1052 371 34 4
1021 1023 1047 139 7 4
1021 1023 1046 129 23 4
1021 848 862 266 9 4
1021 708 724 337 13 4
1021 708 723 107 4 4
992 1178 1195 350 19 4
992 1178 1193 122 18 4
992 991 1002 215 3 4
992 990 997 32 1 4
992 781 791 341 14 4
992 254 274 112 3 4
992 254 272 189 15 4
953 941 957 100 28 3
953 941 956 348 12 3
951 1096 100 118 2 3
951 940 948 242 24 3
942 945 969 82 14 4
942 945 967 149 8 4
942 943 962 294 14 4
942 600 608 432 3 4
942 553 568 234 2 4
942 553 566 13 16 4
942 135 142 103 6 4
926 925 930 89 8 4
926 925 928 250 35 4
926 784 804 478 8 4
926 331 339 352 4 4
926 331 338 460 4 4
926 331 336 198 12 4
926 41 47 44 17 4
926 41 44 53 1 4
924 908 923 259 7 1
907 1147 1161 9 15 4
907 1107 1119 324 13 4
907 1107 1118 261 12 4
907 905 914 92 16 4
907 905 913 450 11 4
907 288 308 476 16 4
907 158 175 167 7 4
901 891 900 276 4 3
901 891 898 207 17 3
840 1015 1019 458 4 4
840 991 1002 215 16 4
840 991 1001 274 7 4
840 975 978 76 7 4
840 905 913 450 10 4
840 905 911 401 1 4
840 848 862 266 7 4
840 848 860 442 10 4
840 844 1101 363 6 4
840 841 1047 139 6 4
840 610 620 23 26 4
840 610 619 194 6 4
840 576 587 154 4 4
840 484 503 310 15 4
821 1022 1040 193 9 4
821 1022 1039 177 13 4
821 828 302 311 20 4
821 820 825 208 3 4
821 805 808 54 12 4
821 440 453 369 11 4
821 440 450 469 3 4
821 440 449 75 14 4
821 440 448 211 4 4
783 908 923 259 20 4
783 908 922 99 21 4
783 797 165 426 17 4
783 672 704 303 4 4
783 672 702 83 5 4
783 114 134 355 10 4
768 761 766 219 22 4
762 138 153 447 13 4
762 76 86 64 7 4
754 733 755 431 19 4
754 733 750 370 11 4
754 733 748 144 7 4
707 944 965 12 2 4
707 823 839 454 2 4
707 823 838 97 13 4
707 705 715 109 30 4
707 705 714 102 7 4
707 705 713 256 1 4
707 637 658 312 10 4
707 161 188 45 36 4
707 161 187 231 11 4
707 0 6 389 13 4
670 763 775 140 9 4
670 693 248 72 14 4
670 669 692 119 10 4
670 635 643 240 14 4
670 635 642 108 6 4
670 635 641 467 11 4
666 980 983 197 13 4
666 980 982 313 4 4
666 708 723 107 13 4
666 114 134 355 2 4
666 114 132 374 15 4
661 751 1090 183 8 4
640 637 658 312 3 4
640 637 657 297 2 4
640 636 651 104 3 4
640 636 650 471 13 4
640 636 649 281 7 4
640 636 648 394 3 4
640 611 622 182 8 4
640 518 542 156 19 4
640 518 539 457 4 4
601 1140 1144 126 19 4
601 980 982 313 13 4
601 980 981 153 16 4
601 823 838 97 2 4
601 807 819 391 8 4
601 397 407 448 10 4
601 252 262 29 3 4
601 252 260 62 4 4
601 252 259 106 15 4
599 594 1071 470 3 4
521 1025 1052 371 12 4
521 1025 1050 191 9 4
521 671 700 164 7 4
521 671 699 445 36 4
521 549 104 168 14 4
521 517 536 286 1 4
521 515 526 142 28 4
520 985 988 404 13 4
520 927 939 70 15 4
520 546 524 22 12 4
520 545 702 83 19 4
520 515 526 142 6 4
520 515 524 22 9 4
520 397 407 448 6 4
520 361 388 201 3 4
519 517 536 286 43 4
519 517 534 396 7 4
519 19 38 322 13 4
492 878 830 405 1 3
486 1148 1164 263 8 4
486 975 978 76 10 4
486 941 955 427 13 4
486 941 952 247 7 4
486 511 223 186 13 4
486 484 503 310 7 4
486 482 498 459 7 4
485 1140 1144 126 7 4
485 1140 1142 47 17 4
485 784 804 478 1 4
485 784 803 343 1 4
480 484 503 310 7 4
480 483 501 347 8 4
480 395 400 222 1 4
472 445 471 436 2 3
463 443 462 225 6 3
446 1166 1174 362 11 4
446 1075 1085 344 6 4
446 1075 1084 351 17 4
446 1075 1083 373 3 4
446 1075 1081 425 9 4
446 445 471 436 28 4
446 444 465 265 3 4
446 442 458 434 4 4
446 55 59 252 2 4
417 822 837 456 11 4
417 822 832 34 16 4
416 1165 1169 330 6 4
416 1165 1168 18 6 4
416 1130 1133 243 21 4
416 805 808 54 10 4
416 424 1038 463 39 4
415 735 759 455 15 4
415 576 587 154 16 4
415 200 209 388 10 4
415 200 206 146 12 4
415 41 44 53 15 4
398 1125 1129 63 9 4
398 849 869 170 23 4
398 849 868 271 12 4
398 356 371 134 15 4
398 55 59 252 23 4
398 55 57 410 1 4
396 1135 1139 416 16 4
396 1105 1111 224 11 4
396 1105 1110 375 11 4
396 1026 1054 57 26 4
396 397 407 448 1 4
390 1177 1189 35 1 4
390 1080 1099 317 15 4
390 927 939 70 13 4
390 877 886 68 4 4
390 845 851 230 19 4
390 805 808 54 1 4
390 709 728 314 8 4
390 709 727 358 24 4
390 665 674 160 7 4
359 550 556 25 21 4
359 380 526 142 2 4
359 379 97 19 12 4
359 377 704 303 35 4
359 377 186 157 14 4
359 355 366 399 6 4
341 1027 1055 133 7 4
341 927 939 70 2 4
341 927 937 36 1 4
341 927 935 38 18 4
341 892 903 178 9 4
341 709 726 37 1 4
341 706 721 137 24 4
341 706 717 56 2 4
341 346 1191 319 6 4
341 159 181 120 4 4
341 159 177 181 13 4
330 849 868 271 11 4
330 846 856 289 6 4
330 822 831 283 25 4
330 761 766 219 9 4
330 761 765 55 7 4
320 1135 1139 416 5 4
320 1135 1136 180 4 4
320 849 868 271 18 4
320 849 866 304 2 4
320 806 811 287 12 4
294 286 295 21 7 4
289 1178 1191 319 14 4
289 578 595 141 6 4
289 578 593 420 17 4
289 570 574 400 21 4
289 310 1001 274 1 4
289 290 313 249 7 4
289 288 308 476 6 4
287 806 811 287 5 4
287 806 810 135 27 4
287 579 598 162 11 4
287 579 597 173 17 4
287 301 323 267 11 4
285 1107 1118 261 23 4
285 1029 1071 470 5 4
285 1029 1070 213 2 4
285 822 831 283 1 4
285 822 830 405 16 4
285 665 674 160 1 4
285 291 316 406 22 4
285 291 315 7 13 4
276 1165 1168 18 8 4
276 1165 1167 238 8 4
276 1125 1129 63 6 4
276 1125 1128 282 6 4
276 1125 1127 148 3 4
276 908 922 99 9 4
276 908 921 449 1 4
276 905 911 401 1 4
276 447 478 397 12 4
276 447 477 212 23 4
276 361 388 201 3 4
275 1077 1094 461 23 4
275 1077 1091 428 9 4
275 993 1005 386 4 4
275 993 1004 383 1 4
275 782 795 338 6 4
258 105 188 45 7 4
253 1022 1039 177 2 4
253 1022 1038 463 16 4
253 1015 1019 458 9 4
253 1015 1018 376 6 4
253 1015 1016 424 18 4
253 268 597 173 6 4
253 252 259 106 18 4
253 113 130 253 11 4
233 1108 1122 331 4 4
233 577 591 413 8 4
233 577 590 349 27 4
233 577 589 158 10 4
233 550 556 25 1 4
233 550 555 279 1 4
233 232 248 72 2 4
233 232 247 200 2 4
233 232 246 380 4 4
233 232 245 58 20 4
230 875 879 218 11 4
230 610 619 194 5 4
224 204 228 353 3 3
224 204 227 333 10 3
213 201 218 101 8 4
202 1029 1070 213 20 4
202 1029 1068 417 19 4
202 136 148 84 1 4
191 1165 1167 238 6 4
191 905 911 401 3 4
191 705 713 256 19 4
191 705 712 423 2 4
191 705 710 409 12 4
191 667 684 136 23 4
191 550 555 279 20 4
160 1107 1118 261 10 4
160 1107 1117 475 18 4
160 342 354 73 6 4
160 342 352 367 4 4
160 161 186 157 3 4
160 158 171 270 10 4
160 158 169 161 26 4
160 157 168 221 1 4
160 155 162 232 8 4
144 504 866 304 21 4
110 1105 1110 375 9 4
110 1105 1109 216 11 4
110 517 534 396 2 4
110 116 860 442 9 4
110 113 130 253 1 4
110 111 120 308 7 4
94 78 97 19 25 4
94 78 96 332 2 4
87 76 86 64 2 4
87 76 85 277 15 4
81 357 375 95 22 4
81 357 373 236 15 4
79 577 589 158 19 4
79 98 305 254 3 4
79 78 96 332 25 4
79 78 93 113 3 4
75 905 911 401 3 4
75 204 227 333 3 4
75 204 225 145 1 4
75 204 223 186 8 4
75 137 149 51 8 4
75 84 699 445 6 4
75 78 93 113 20 4
66 612 625 42 15 4
66 612 624 52 18 4
66 288 308 476 12 4
66 288 307 387 1 4
66 288 306 438 13 4
65 1028 1061 204 18 4
65 1028 1060 288 12 4
65 927 935 38 14 4
65 73 220 275 20 4
65 67 764 31 5 4
65 40 43 346 2 4
56 905 911 401 8 4
56 905 910 300 3 4
56 136 148 84 26 4
56 136 145 357 9 4
56 113 130 253 4 4
56 113 129 377 18 4
42 1015 1016 424 2 4
42 993 1004 383 5 4
42 906 919 43 16 4
42 906 918 395 5 4
42 890 896 290 37 4
42 890 895 210 3 4
42 890 894 60 2 4
42 342 352 367 13 4
42 50 657 297 16 4
37 698 593 420 4 4
28 16 25 440 19 3
28 16 24 444 5 3
28 16 23 255 2 3
20 1037 1139 416 8 4
18 761 765 55 4 4
18 19 38 322 3 4
17 1015 1016 424 4 4
17 231 242 382 16 4
17 32 649 281 24 4
17 32 591 413 4 4
2 1023 1045 217 3 4
2 993 1004 383 11 4
2 849 866 304 6 4
2 807 819 391 4 4
2 807 818 229 6 4
2 552 565 415 4 4
2 15 22 472 13 4
1 637 657 297 9 4
1 321 328 246 3 4
1 321 327 384 23 4
1 321 325 16 10 4
1 41 44 53 4 4
1 8 120 308 8 4
1 0 6 389 2 4
1 0 5 390 5 4
1 0 4 408 5 4
1182 1176 1184 1085 344 5 4
1182 1176 1177 1189 35 3 4
1182 1176 1140 1142 47 5 4
1182 1176 1140 1141 116 10 4
1182 1176 356 371 134 4 4
1160 381 360 386 226 2 1
1160 381 360 384 227 1 1
1151 736 730 739 451 5 0
1100 676 665 674 160 4 4
1086 586 576 587 154 4 4
1058 596 579 597 173 1 0
992 781 1029 1068 417 2 4
992 781 1029 1067 4 4 4
992 781 788 886 68 14 4
992 781 441 455 65 1 4
992 781 395 400 222 4 4
992 79 40 43 346 10 4
951 940 941 952 247 4 3
947 940 941 952 247 10 3
947 940 850 870 86 8 3
947 940 668 689 169 5 3
947 383 360 384 227 1 3
942 945 1029 1067 4 6 4
942 945 968 534 396 10 4
942 943 961 153 447 9 4
942 943 908 921 449 11 4
942 600 444 465 265 16 4
942 135 140 804 478 10 4
926 925 944 965 12 2 4
926 925 929 643 240 4 4
926 331 763 775 140 1 4
926 331 577 589 158 8 4
926 331 336 1052 371 2 4
926 331 201 218 101 17 4
907 1147 1163 939 70 13 4
907 1147 1146 1158 323 5 4
907 1147 1107 1117 475 1 4
907 330 761 765 55 5 4
901 891 1076 1089 439 7 3
901 891 250 255 272 9 3
821 820 824 118 206 9 4
821 732 745 928 250 2 4
821 251 905 910 300 2 4
821 251 256 333 328 23 4
783 797 170 64 360 10 4
746 733 706 717 56 1 1
666 708 356 371 134 11 4
666 708 356 370 176 3 4
666 114 131 1060 288 1 4
640 611 784 803 343 3 4
640 611 784 802 316 3 4
640 611 621 323 267 4 4
631 1059 1028 1060 288 19 4
601 980 990 997 32 3 4
601 980 850 870 86 2 4
601 980 807 818 229 8 4
601 980 613 629 125 2 4
601 980 610 619 194 2 4
601 331 201 218 101 6 4
599 594 816 453 369 14 4
521 671 665 674 160 3 4
521 549 104 750 370 15 4
520 985 944 965 12 13 4
520 985 890 894 60 1 4
520 980 610 619 194 6 4
520 980 158 169 161 11 4
519 419 709 726 37 4 4
519 419 438 773 3 21 4
519 419 138 153 447 5 4
519 390 665 674 160 19 4
519 390 483 501 347 12 4
519 390 113 129 377 1 4
497 214 201 218 101 1 4
492 481 321 325 16 4 3
492 481 321 323 267 9 3
486 1148 361 388 201 4 4
486 975 979 969 82 2 4
486 485 784 802 316 17 4
486 485 77 92 381 1 4
486 482 637 657 297 17 4
486 482 55 57 410 16 4
480 985 890 894 60 6 4
480 985 763 775 140 1 4
480 985 441 455 65 11 4
480 840 190 192 235 22 4
480 840 55 57 410 8 4
480 484 613 629 125 10 4
480 484 613 628 264 14 4
472 46 41 44 53 11 3
463 443 991 1001 274 2 3
463 443 444 465 265 20 3
463 443 444 464 190 4 3
446 1166 290 313 249 1 4
446 1166 112 126 5 7 4
446 1166 112 124 366 17 4
446 1147 1107 1117 475 12 4
446 1075 944 965 12 4 4
446 445 1029 1067 4 1 4
439 1116 210 628 264 2 3
439 419 138 153 447 20 3
433 418 760 764 31 6 3
417 975 979 969 82 20 4
417 975 846 856 289 4 4
417 431 616 831 283 18 4
417 418 760 764 31 18 4
416 1130 1133 354 73 1 4
416 1130 1030 1074 268 3 4
416 1130 1030 1073 336 1 4
416 1130 890 894 60 4 4
416 891 250 255 272 2 4
416 891 204 223 186 11 4
416 156 158 169 161 7 4
415 200 613 628 264 9 4
392 390 113 129 377 3 4
392 390 113 128 172 13 4
341 892 903 166 269 15 4
341 892 113 128 172 7 4
341 159 158 169 161 1 4
320 1135 1138 771 128 1 4
320 1135 1107 1117 475 5 4
320 1135 991 1001 274 2 4
320 1135 991 1000 364 26 4
320 1130 890 894 60 2 4
320 1130 823 838 97 1 4
320 1130 288 306 438 4 4
320 925 929 643 240 8 4
294 286 290 313 249 10 4
289 614 634 376 446 12 4
289 614 633 38 322 3 4
289 614 630 462 225 13 4
289 578 340 343 301 5 4
289 570 1145 1155 228 9 4
289 570 1145 1154 402 6 4
289 570 1145 1150 40 5 4
287 806 810 1118 261 1 4
285 1135 991 1000 364 15 4
285 1135 706 717 56 7 4
285 291 319 682 257 3 4
285 291 317 726 37 8 4
276 1135 706 717 56 10 4
276 1135 637 657 297 11 4
276 1135 637 653 214 3 4
276 1125 1126 43 346 17 4
276 820 824 118 206 1 4
276 671 665 674 160 3 4
275 1077 1095 1101 363 6 4
275 1077 1091 997 32 3 4
275 782 784 802 316 6 4
258 251 256 333 328 1 4
253 252 610 619 194 1 4
253 252 261 465 265 1 4
253 252 259 1128 282 5 4
233 1108 1123 1183 278 26 4
233 1108 1121 721 137 7 4
233 232 340 343 301 11 4
230 875 1105 1109 216 13 4
230 875 994 1014 165 9 4
230 237 1095 1101 363 21 4
202 1125 1126 43 346 12 4
202 205 201 216 251 1 4
191 1165 1167 307 387 6 4
191 667 1178 1191 319 1 4
191 667 161 186 157 9 4
191 667 161 185 239 2 4
191 667 161 183 192 4 4
191 550 559 1158 323 5 4
191 550 555 728 314 13 4
160 205 201 216 251 8 4
160 157 168 24 444 9 4
160 155 161 183 192 3 4
144 135 140 804 478 5 4
110 1125 1126 43 346 2 4
110 1125 905 910 300 4 4
110 1125 358 376 446 5 4
110 517 532 713 256 1 4
110 447 477 912 39 1 4
110 111 356 370 176 2 4
110 111 121 801 26 3 4
81 1125 358 376 446 16 4
81 445 1029 1067 4 2 4
81 445 807 818 229 2 4
81 445 470 536 286 12 4
81 200 613 628 264 15 4
81 200 613 626 67 1 4
81 200 211 589 158 11 4
81 200 211 141 309 15 4
75 985 441 455 65 4 4
75 985 77 92 381 2 4
75 251 256 333 328 11 4
75 137 152 868 271 5 4
75 80 107 1002 215 5 4
75 80 107 128 172 23 4
