974

1198 220 58 4
1143 96 35 3
1127 21 46 4
1086 275 60 4
1039 125 43 3
946 434 65 5
856 265 56 4
790 260 28 2
691 473 25 2
648 470 103 6
624 156 65 5
571 49 44 4
539 378 111 7
521 75 68 5
486 179 70 5
447 224 56 5
437 40 77 5
424 97 76 5
422 232 53 3
408 222 62 4
383 127 48 5
364 193 41 4
351 449 51 3
349 187 75 4
334 145 47 5
289 194 113 8
273 178 53 4
261 478 52 4
221 461 43 3
180 38 74 6
178 405 31 3
176 257 22 3
106 188 102 6
74 316 54 5
56 155 44 3
13 168 54 4
7 331 60 5
1198 1093 284 17 4
1198 1078 409 17 4
1143 263 118 24 3
1127 998 282 25 4
1039 758 123 43 3
964 806 239 15 2
964 143 385 14 2
964 102 61 36 2
946 970 400 49 5
946 726 170 20 5
856 296 256 50 4
790 1097 273 20 2
691 277 323 41 2
680 685 136 22 6
648 677 451 47 6
631 645 436 38 6
624 918 399 40 5
620 622 339 7 6
571 974 394 45 4
566 594 228 18 6
566 590 350 12 6
539 1089 35 28 7
539 866 258 27 7
539 313 9 21 7
539 43 312 7 7
521 324 134 33 5
521 14 252 38 5
495 498 212 2 6
495 497 250 1 6
495 496 20 3 6
486 362 108 19 5
486 108 263 36 5
447 1103 74 14 5
437 617 464 13 5
424 1083 287 45 5
408 855 330 16 4
383 1048 387 39 5
383 78 432 14 5
365 369 404 1 6
364 1083 287 11 4
364 1020 463 18 4
364 128 17 15 4
349 1130 236 20 4
334 524 443 44 5
334 68 301 25 5
308 329 41 32 6
308 328 341 9 6
308 326 198 25 6
305 315 373 48 6
305 313 9 13 6
305 312 475 14 6
289 794 360 33 8
289 450 169 45 8
289 87 325 34 8
287 300 355 14 6
273 345 62 21 4
265 269 249 13 6
265 268 171 9 6
265 266 278 2 6
247 1024 467 17 2
247 368 286 48 2
231 259 167 8 6
231 256 395 44 6
231 255 366 17 6
231 254 144 16 6
221 730 64 32 3
180 991 272 6 6
180 915 165 6 6
180 266 278 20 6
180 248 107 42 6
178 824 196 18 3
178 652 365 40 3
176 1106 16 28 3
176 205 172 23 3
118 143 385 20 6
118 140 430 2 6
118 139 302 41 6
118 136 319 24 6
118 135 45 3 6
106 1047 23 22 6
106 825 460 33 6
98 113 462 13 6
98 110 359 8 6
98 109 353 21 6
98 108 263 7 6
83 368 286 22 3
80 84 425 15 6
80 82 68 2 6
74 957 384 38 5
74 45 126 37 5
66 73 99 20 6
56 357 72 21 3
56 57 93 27 3
50 58 37 11 6
50 57 93 1 6
50 55 386 22 6
41 1083 287 48 3
37 47 315 20 6
37 46 290 21 6
36 44 421 32 6
36 43 312 30 6
30 34 237 22 6
30 33 184 41 6
13 555 417 43 4
7 948 476 43 5
1143 1135 1140 161 10 3
1143 263 523 248 4 3
1127 1121 1128 459 27 4
1127 1121 1125 393 19 4
