1015

1192 310 109 6
1025 405 55 5
1008 0 8 0
979 301 63 6
915 451 25 2
885 395 14 1
876 383 83 6
834 225 27 3
787 63 76 6
746 356 48 3
725 193 40 3
691 146 52 4
633 190 37 3
620 105 49 5
583 43 40 3
582 184 77 6
572 57 31 2
524 432 62 5
510 68 85 6
484 370 20 1
480 168 53 5
457 465 88 6
416 194 26 2
400 336 51 4
398 89 91 5
397 313 45 3
377 44 57 5
349 214 43 4
324 182 28 2
258 277 29 5
193 169 52 5
153 41 37 3
135 435 11 1
109 107 39 3
108 254 63 5
94 408 57 5
89 131 43 4
37 445 14 1
12 476 54 5
1192 1173 367 3 6
1192 269 255 13 6
1192 176 433 48 6
1169 444 261 17 4
1169 396 60 33 4
1140 1146 320 27 6
1093 1110 243 23 8
1093 1109 212 46 8
1093 1107 7 19 8
1043 1061 334 46 8
1043 1060 457 31 8
1043 1058 374 7 8
1043 1057 407 7 8
1025 616 165 46 5
1008 459 93 9 0
979 1179 218 50 6
937 952 210 32 8
937 950 189 11 8
937 949 441 16 8
937 948 222 25 8
915 840 32 18 2
900 912 323 9 8
900 911 409 20 8
900 909 281 8 8
900 908 467 32 8
900 907 85 7 8
885 503 170 36 1
876 630 287 26 6
876 179 410 44 6
834 148 337 28 3
828 844 78 9 6
828 842 386 2 6
828 839 276 12 6
828 838 223 25 6
799 865 391 25 0
787 848 229 18 6
787 601 478 20 6
787 506 120 19 6
725 713 248 31 3
691 242 180 25 4
656 665 98 45 8
633 11 258 18 3
620 239 329 36 5
610 637 132 21 6
610 636 151 25 6
610 634 422 12 6
605 619 134 9 6
605 617 159 3 6
605 616 165 2 6
595 598 143 25 8
595 597 270 10 8
583 427 29 39 3
582 811 230 15 6
582 332 327 42 6
572 710 294 16 2
572 198 81 3 2
540 547 376 24 8
540 546 145 28 8
540 544 463 25 8
524 500 195 14 5
510 1155 102 40 6
484 892 448 10 1
480 1076 247 15 5
479 621 309 37 1
466 472 209 13 8
466 471 20 39 8
465 470 164 25 8
465 469 174 2 8
457 147 284 43 6
453 1182 274 20 1
421 430 314 44 8
421 429 173 21 8
421 428 296 29 8
416 388 319 23 2
400 868 450 35 4
